ingilizce,okunuş
abandon,ebandın
ability,ebılıti
able,eybıl
aboard,ebord
abolish,ebolış
abolition,ebolışın
about,ebaut
above,ebav
abroad,ebrod
absence,ebsıns
absent,ebsınt
absolute,ebsolut
absorb,ıbsorb
absurd,ebzörd
abuse,ebyus
academic,ekıdemik
accede,aksiid
accelerator,ekselıreytır
accent,eksınt
accept,eksept
access,ekses
accessible,eksesıbıl
accident,eksidınt
accommodate,ekomodeyt
accommodation,ekomıdeyşın
accompany,ekampıni
according to,ekording tu
account,ekaunt
accounting,ekaunting
accumulate,ekyumyuleyt
"accurate, faultless",ekürıt
accused,ekyuzıd
accustom,ekastım
accustomed,ekastımd
ache,eyk
achieve,epiv
achievement,epivmınt
acid,esid
acknowledge,eknolıp
acquaint,ekueynt
acquire,ikvaır
acquisition,ekvızışın
across,ekros
act,ekt
active,ektiv
actor,ektır
actress,ektrıs
actual,ekçuıl
add,ed
addict,edikt
address,edres
administration,edminıstreyşın
admiral,edmirıl
admire,edmayr
admission,edmişın
admit,edmit
adopt,edopt
adult,edalt
advance,edvens
advanced,edvensd
advantage,edventıc
adventure,edvençur
adverse,edvörs
advertise,edvırtayz
advice,edvays
advise,edvayz
aerial,eriyıl
aeroplane,eıropleyn
affair,effeyır
affect,efekt
afford,eford
afraid,efreid
after,aftır
afternoon,aftırnuun
afterwards,aftırvördz
again,egein
against,egeinst
age,eyc
aged,eycd
agency,eycınsi
agent,eycınt
aggressive,egresiv
ago,ego
agree,egrii
agreement,egriimınt
agriculture,egrikalçır
ahead,ehed
aid,eyd
aim,eym
air,eyr
airport,eyirport
alarm,alarm
album,elbım
alcohol,elkıhol
algebra,alcebra
alike,elaık
alive,elaıv
all,ol
all right,ol rayt
alliance,elayıns
alligator,aligeytır
allocate,elıkeyt
allocations,elıkeyşın
allow,elov
allowance,elauıns
ally,elay
almost,olmost
alone,elon
along,elong
aloud,elaud
alphabet,elfıbit
already,olredi
also,olso
alter,oltır
alternative,oltörnıtiv
although,oldo
altogether,oltugedır
always,olveys
amateur,emıtör
amaze,emeyz
ambassador,embesedır
ambition,embişın
ambulance,embyulıns
ambush,embuş
amend,emend
among,emong
amount,emaunt
ample,empıl
amuse,emüuz
anchor,enkır
and,end
angel,eyncıl
anger,engır
angle,engıl
angry,engri
animal,enimıl
ankle,enkl
anniversary,enivörsıri
announce,enauns
annoy,enoy
annual,enyuıl
another,enadır
answer,ensır
ant,ent
anti,anti
anticipate,entisipeyt
antique,entik
anxiety,enzayıti
anxious,enkşıs
anxiously,enkşıslıy
any,eni
anybody,enibadi
anyone,enivan
anything,enyting
anyway,enivey
anywhere,eniveır
apart,epart
apart from,epart from
apartment,epartmınt
ape,eyp
apologize,epolocayz
apparent,eperınt
apparently,eparıntliy
appeal,epiıl
appear,eppiır
appearance,eppiırıns
appertain,epıtein
appetite,epıtayt
applicant,eplikınt
application,eplikeyşın
apply,eplay
appoint,eppoint
appointment,eppointmınt
appreciate,eprişieyt
approach,eproç
approve,epruv
approximate,eproksimıt
apricot,eprikot
april,eyprıl
archbishop,arçbişıp
architect,arkitekt
architecture,arkitekçır
area,eriya
argue,argüu
argument,argümınt
arise,erayz
aristocrat,eristokrat
arm,arm
armchair,armçeir
armour,armır
army,armi
around,eraund
arrange,ereync
arrest,erest
arrival,erayvıl
arrive,erayv
arrow,erov
art,art
article,artikl
article of association,artıkıl ıv ısosieyşın
artificial,artifişıl
artist,artist
as,ez
ash,eş
ashamed,eşeymd
aside,esayd
ask,esk
asleep,esliip
aspect,espekt
ass,es
assembly,esembli
asset,eset
assist,esist
assistant,esistınt
associate,esoşieyt
association,esuşeytın
assume,esuym
