English,Turkish
abandon,['terk etmek']
ability,['yetenek']
able,['muktedir']
aboard,['taşıtın içinde olmak']
abolish,['iptal etmek']
abolition,['kaldırmak']
about,"['hakkında', 'yaklaşık olarak']"
above,['yukarıdaki']
abroad,['yurt dışı']
absence,['yokluk']
absent,"['yok', 'eksik']"
absolute,"['mutlak', 'kesin']"
absorb,"['emmek', 'karşılamak', 'dengelemek']"
absurd,['absürd']
abuse,"['kötüye kullanma', 'suistimal etme', 'kötü söyleme']"
academic,['akademik']
accede,['razı olmak']
accelerator,['gaz pedalı']
accent,"['şive', 'aksan']"
accept,['kabul etmek']
access,"['giriş', 'yol']"
accessible,"['içine girilebilinir', 'kolay bulunur']"
accident,['kaza']
accommodate,['yerleştirmek']
accommodation,['konaklama yeri']
accompany,['eşlik etmek']
according to,['göre']
account,['hesap']
accounting,['muhasebe']
accumulate,"['toplamak', 'biriktirmek']"
"accurate, faultless","['doğru', 'hatasız']"
accused,"['sanık', 'suçlamak']"
accustom,['alıştırmak']
accustomed,"['alışık', 'alışkın']"
ache,['ağrı']
achieve,"['üstünden gelme', 'erişmek', 'başarmak']"
achievement,['başarı']
acid,['asit']
acknowledge,['doğrulamak']
acquaint,"['tanımak', 'bilmek']"
acquire,['edinmek']
acquisition,"['edinme', 'istimlak', 'el koyma']"
across,"['bir uçtan diğerine', 'diğer tarafta']"
act,"['davranış', 'davranmak']"
active,"['etkin', 'faal']"
actor,['erkek oyuncu']
actress,['kadın oyuncu']
actual,['gerçek']
add,"['toplamak', 'eklemek']"
addict,"['tiryaki', 'müptela']"
address,['adres']
administration,['idare']
admiral,['amiral']
admire,"['beğenmek', 'hayran olmak']"
admission,"['kabul', 'itiraf', 'giriş']"
admit,"['kabul etmek', 'izin vermek']"
adopt,"['kabul etmek', 'evlat edinmek']"
adult,['yetişkin']
advance,"['ileri', 'avans']"
advanced,['gelişmiş']
advantage,['avantaj']
adventure,['macera']
adverse,"['zıt', 'karşı']"
advertise,"['reklam yapmak', 'ilan vermek']"
advice,['tavsiye']
advise,['tavsiye etmek']
aerial,['anten']
aeroplane,['uçak']
affair,"['olay', 'iş', 'ilişki']"
affect,['etkilemek']
afford,['satın alma gücü olmak']
afraid,['korkmak']
after,['sonra']
afternoon,['öğleden sonra']
afterwards,['bir olaydan sonra']
again,"['bir daha', 'yine']"
against,"['karşı', 'zıt']"
age,"['yaş', 'çağ']"
aged,['yaşında']
agency,['acente']
agent,"['temsilci', 'aracı']"
aggressive,"['saldırgan', 'kavgacı']"
ago,['önce']
agree,['anlaşmak']
agreement,['anlaşma']
agriculture,['tarım']
ahead,['önde']
aid,['yardım']
aim,"['amaç', 'hedef almak']"
air,"['hava', 'havalandırma']"
airport,['hava alanı']
alarm,['alarm']
album,['albüm']
alcohol,['alkol']
algebra,['cebir']
alike,"['benzer', 'aynı yolda']"
alive,"['yaşamak', 'canlı']"
all,"['hep', 'tüm', 'her']"
all right,"['tamam', 'evet']"
alliance,"['bağlaşma', 'birlik', 'mütareke']"
alligator,['timsah']
allocate,"['tahsis etmek', 'dağıtmak', 'bölüştürmek']"
allocations,['tahsisat']
allow,['izin vermek']
allowance,"['düzenli kazanç', 'harçlık']"
ally,"['anlaşma', 'birleşme']"
almost,['hemen hemen']
alone,"['yalnız', 'tek']"
along,"['boyunca', 'ileri']"
aloud,['sesli']
alphabet,['alfabe']
already,"['az önce', 'zaten']"
also,['hem de']
alter,['değiştirmek']
alternative,"['alternatif', 'seçenek']"
although,"['gerçi', 'olmakla beraber']"
altogether,"['tümüyle', 'hep beraber']"
always,['her zaman']
amateur,['amatör']
amaze,['şaşırtmak']
ambassador,['büyükelçi']
ambition,['hırs']
ambulance,['ambulans']
ambush,['tuzak']
amend,"['düzelme', 'ayarlama']"
among,['arasında']
amount,['miktar']
ample,"['geniş', 'bol']"
amuse,['güldürmek']
anchor,"['çapa', 'demir atmak gemi']"
and,['ve']
angel,['melek']
anger,['kızmak']
angle,"['açı', 'köşe']"
angry,['kızgın']
animal,['hayvan']
ankle,['ayak bileği']
anniversary,['yıldönümü']
announce,"['bildirmek', 'çağrıda bulunmak', 'anons']"
annoy,"['rahatsız etmek', 'kızdırmak']"
annual,['yıllık']
another,"['diğer', 'bir başka']"
answer,['yanıt']
ant,['karınca']
anti,"['karşı', 'zıt', 'ters']"
anticipate,"['ön görmek', 'beklemek']"
antique,['antika']
anxiety,['endişe']
anxious,['endişeli']
anxiously,['endişeli olmak']
any,['herhangi']
anybody,['herhangi biri']
anyone,['herhangi biri']
anything,['herhangi bir şey']
anyway,['her neyse']
anywhere,['herhangi bir yer']
apart,['ayrı']
apart from,"['hariç', 'dışında']"
apartment,['apartman dairesi']
ape,['maymun']
apologize,['özür dilemek']
apparent,"['açık', 'kolayca görünen']"
apparently,"['bariz olmak', 'görünmek']"
appeal,"['hoşa giden', 'yalvarmak', 'üst mahkemeye başvurmak']"
appear,['görünmek']
appearance,['görünüş']
appertain,['ait olmak']
appetite,['iştah']
applicant,['başvuran']
application,['başvuru']
apply,"['başvurmak', 'uygulamak']"
appoint,['atamak']
appointment,"['randevu', 'atama']"
appreciate,"['müteşekkir', 'değer bilmek', 'beğenmek']"
approach,"['yaklaşmak', 'yaklaşım', 'geliş']"
approve,['onaylamak']
approximate,['yaklaşık olarak']
apricot,['kayısı']
april,['nisan']
archbishop,['başpiskopos']
architect,['mimar']
architecture,['mimari']
area,"['alan', 'bölge']"
argue,['tartışmak']
argument,['tartışma']
arise,"['kalkmak', 'yükselmek']"
aristocrat,['aristokrat']
arm,"['kol', 'silah']"
armchair,['koltuk']
armour,['zırh']
army,['ordu']
around,"['aşağı yukarı', 'çevre']"
arrange,"['düzenlemek', 'ayarlamak']"
arrest,['tutuklamak']
arrival,['varış']
arrive,['varmak']
arrow,['ok']
art,['sanat']
article,"['makale', 'eşya']"
article of association,['ana sözleşme']
artificial,['yapay']
artist,['sanatçı']
as,"['gibi', 'olarak', 'olarak']"
ash,['kül']
ashamed,['utanmış']
aside,['bir yanda']
ask,"['sormak', 'istemek']"
asleep,['uykuda']
aspect,"['görünüş', 'görüş', 'hal']"
ass,"['eşek', 'aptal']"
assembly,"['montaj', 'oturum']"
asset,['varlık']
assist,['yardım etmek']
assistant,['yardımcı']
associate,"['ilgilenmek', 'birleştirmek']"
association,"['cemiyet', 'birlik', 'aynı şeyle ilgili olan']"
assume,['varsaymak']
assurance,"['güven', 'inanç', 'söz']"
assure,"['temin etmek', 'söz vermek', 'ikna etmek']"
assured,"['önceden belli', 'kendine güvenen']"
astonish,['şaşırmak bir kimseye']
at,['de da eki']
atmosphere,"['havaküre', 'atmosfer']"
attach,['birleştirmek']
attachment,"['ilave', 'ek']"
attack,"['saldırmak', 'atak']"
attempt,['denemek']
attend,"['katılmak', 'bir yerde bulunmak']"
attendant,"['hizmetçi', 'hizmetkar', 'refakat eden kimse']"
attention,['dikkat']
attitude,"['yaklaşım', 'düşünce', 'hareket']"
attractive,['çekici']
auction,"['müzayede', 'mezat']"
audience,"['izleyici tv', 'tiyatro']"
augment,"['ilave etmek', 'arttırmak', 'zam yapmak']"
augmentation,"['zam', 'ekleme']"
august,['ağustos']
aunt,"['teyze', 'hala']"
author,['yazar']
authority,['otorite']
autumn,['sonbahar']
available,"['hazır', 'serbest', 'boşta']"
avenue,['cadde']
average,['ortalama']
avoid,['kaçınmak']
awake,['uyanık']
award,['mükafat']
aware,"['bilgili', 'farkında olmak', 'haberdar olmak']"
away,"['buradan', 'burada değil']"
awful,"['kötü', 'berbat', 'üzücü']"
awkward,"['sakar', 'kullanışsız', 'beceriksiz']"
axe,['balta']
baby,['bebek']
babysitter,['çocuk bakıcısı']
bachelor,"['bekar', 'üniversitenin ilk derecesi']"
back,"['arka', 'sırt']"
backbone,"['omurga', 'temel taşı', 'en önemli bölüm']"
background,"['fon', 'geri plan', 'temel']"
backward,['geriye doğru']
bad,['kötü']
badly,"['kötü', 'çok fazla']"
bag,['çanta']
baggage,['bagaj']
bake,['pişirmek']
baker,['fırıncı']
balance,"['denge', 'bakiye']"
balcony,['balkon']
bald,['kel']
bale,"['balya halı', 'tütün ']"
ball,"['top', 'balo']"
ballerina,['balerin']
ballet,['bale']
balloon,['balon']
ban,['yasak']
banal,"['banal', 'adi']"
banana,['muz']
band,"['bant şerit', 'bando']"
bandage,"['bandaj', 'yara bandı']"
baneful,['kötü şey']
banish,"['sürgüne yollama', 'düşünmekten vazgeçme']"
bank,['banka']
banker,"['banka yöneticisi', 'banker']"
banknote,['kağıt para']
bankrupt,['iflas']
bar,"['çubuk', 'bar']"
barbarous,"['barbar', 'vahşi']"
barber,['berber']
bare,"['çıplak', 'boş']"
bargain,"['pazarlık etmek', 'kelepir']"
barrel,"['varil', 'namlu']"
base,"['taban', 'üs']"
basement,['bodrum']
basin,"['leğen', 'leğen dolusu', 'havza']"
basket,['sepet']
bastardize,"['değerini düşürmek', 'konunun dışına çıkmak']"
bath,['yıkanmak']
bathe,['yıkamak']
battery,['pil']
battle,"['savaş', 'muharebe']"
bawl,['yüksek sesle bağırmak']
bay,['koy']
beach,['sahil']
bean,['fasulye']
bear,"['taşımak', 'dayanabilmek', 'ayı']"
beard,['sakal']
beast,['canavar']
beat,"['vurmak', 'yenmek']"
beautiful,['güzel']
beauty,['güzellik']
because,['çünkü']
become,"['gelişmek', 'değişmek']"
bed,['yatak']
bee,['arı']
beef,['dana eti']
beer,['bira']
beetle,['hamamböceği']
before,['önce']
beforehand,['önceden']
beg,['dilenmek']
begin,['başlamak']
behave,['davranmak']
behind,"['arkada', 'geride']"
being,['varlık']
believe,['inanmak']
bell,"['zil', 'çan']"
belong,['ait olmak']
below,"['altta', 'aşağıda']"
belt,['kemer']
bench,"['tezgah', 'bank']"
bend,"['eğmek', 'eğilmek']"
beneath,['altında']
benefit,['yararı olmak']
berry,['küçük çekirdeksiz meyve']
beside,['yanında']
besides,['hem de']
best,['en iyi']
bet,"['iddia etmek', 'iddiaya girmek']"
better,['daha iyi']
between,['arasında']
beyond,['ötesinde']
bias,"['ön yargı', 'eğilim']"
bicycle,['bisiklet']
big,['büyük']
bike,['bisiklet']
bill,"['fatura', 'hesap', 'gaga']"
bin,['kap']
bind,['bağlamak']
bird,['kuş']
birth,['doğum']
birthday,['doğu mgünü']
biscuit,['bisküvi']
bishop,['piskopos']
bit,"['parça', 'matkap', 'anahtarın ucu']"
bite,['ısırmak']
black,['siyah']
bladder,"['mesane', 'kese', 'sidik torbası']"
blade,"['ustura', 'bıçak']"
blame,"['sorumlu tutmak', 'suçlamak']"
blank,['boşluk']
blanket,['battaniye']
blast,"['patlayarak parçalanma', 'mahvetmek']"
bless,"['dilemek', 'takdis']"
blind,['kör']
blister,['kabarcık']
block,['blok']
blockade,['ablukaya alma']
blood,['kan']
bloom,"['çiçek', 'çiçek açmak']"
blouse,['bluz']
blow,"['üflemek', 'patlamak']"
blue,"['mavi', 'mutsuz']"
bluff,['blöf']
board,"['araca binmek', 'tahta', 'kurul']"
boast,['övünmek']
boat,"['bot', 'sandal']"
body,"['gövde', 'vücut']"
bodyguard,"['koruma görevlisi', 'goril']"
boil,['kaynamak']
boiler,['kazan']
